,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,sum,volume_m3,area_m2
0,"POLYGON Z ((289583.7082967249 5130289.22604238 0, 289588.7052508601 5130289.051544896 0, 289588.356255893 5130279.057636626 0, 289583.3593017579 5130279.232134109 0, 289583.7082967249 5130289.22604238 0))",Coverage/Quad,User Created Features,2,-0.153472900390625,3.525543212890625,1.5325244110409577,4444,6810.538482666016,76.65036794342416,50.000000000347534
1,"POLYGON Z ((289588.7052508601 5130289.051544896 0, 289593.7022049951 5130288.877047412 0, 289593.3532100281 5130278.883139142 0, 289588.356255893 5130279.057636626 0, 289588.7052508601 5130289.051544896 0))",Coverage/Quad,User Created Features,3,-0.094482421875,3.575225830078125,1.6466641194111593,4440,7311.188690185547,82.28502116724702,50.000000000672564
2,"POLYGON Z ((289593.7022049951 5130288.877047412 0, 289598.6991591303 5130288.702549929 0, 289598.3501641632 5130278.708641659 0, 289593.3532100281 5130278.883139142 0, 289593.7022049951 5130288.877047412 0))",Coverage/Quad,User Created Features,4,-0.070648193359375,3.99249267578125,1.8845964586412585,4440,8367.608276367188,94.17467573561304,50.000000000347534
3,"POLYGON Z ((289598.6991591303 5130288.702549929 0, 289603.6961132654 5130288.528052446 0, 289603.3471182983 5130278.534144175 0, 289598.3501641632 5130278.708641659 0, 289598.6991591303 5130288.702549929 0))",Coverage/Quad,User Created Features,5,0.032928466796875,4.57598876953125,2.9694425375154703,4444,13196.20263671875,148.5189152274671,50.000000000347534
4,"POLYGON Z ((289603.6961132654 5130288.528052446 0, 289608.6930674004 5130288.353554962 0, 289608.3440724334 5130278.359646692 0, 289603.3471182983 5130278.534144175 0, 289603.6961132654 5130288.528052446 0))",Coverage/Quad,User Created Features,6,0.074188232421875,5.10540771484375,3.155878547074182,4442,14018.412506103516,157.77261655746625,50.00000000005159
5,"POLYGON Z ((289608.6930674004 5130288.353554962 0, 289613.6900215356 5130288.179057478 0, 289613.3410265685 5130278.185149208 0, 289608.3440724334 5130278.359646692 0, 289608.6930674004 5130288.353554962 0))",Coverage/Quad,User Created Features,7,0.090057373046875,4.8631591796875,3.3880983161711717,4445,15060.09701538086,169.4964326874674,50.000000000672564
6,"POLYGON Z ((289613.6900215356 5130288.179057478 0, 289618.6869756706 5130288.004559995 0, 289618.3379807036 5130278.010651724 0, 289613.3410265685 5130278.185149208 0, 289613.6900215356 5130288.179057478 0))",Coverage/Quad,User Created Features,8,-0.0133056640625,4.496002197265625,2.897397232227265,4446,12881.828094482422,144.98073327668726,50.000000000347534
7,"POLYGON Z ((289618.6869756706 5130288.004559995 0, 289623.6839298057 5130287.830062511 0, 289623.3349348387 5130277.836154241 0, 289618.3379807036 5130278.010651724 0, 289618.6869756706 5130288.004559995 0))",Coverage/Quad,User Created Features,9,0.02593994140625,4.64349365234375,2.815456511605181,4437,12492.180541992188,140.59537838255565,50.00000000005159
8,"POLYGON Z ((289623.6839298057 5130287.830062511 0, 289628.6808839408 5130287.655565028 0, 289628.3318889738 5130277.661656758 0, 289623.3349348387 5130277.836154241 0, 289623.6839298057 5130287.830062511 0))",Coverage/Quad,User Created Features,10,-0.004852294921875,4.81060791015625,3.3216808386920085,4443,14758.227966308594,166.0989959442478,50.000000000633314
9,"POLYGON Z ((289628.6808839408 5130287.655565028 0, 289633.6778380759 5130287.481067544 0, 289633.3288431089 5130277.487159275 0, 289628.3318889738 5130277.661656758 0, 289628.6808839408 5130287.655565028 0))",Coverage/Quad,User Created Features,11,0.063079833984375,4.783355712890625,2.9412362264363643,4444,13070.853790283203,147.10815523763327,49.99999999788722
10,"POLYGON Z ((289633.6778380759 5130287.481067544 0, 289638.674792211 5130287.306570061 0, 289638.325797244 5130277.31266179 0, 289633.3288431089 5130277.487159275 0, 289633.6778380759 5130287.481067544 0))",Coverage/Quad,User Created Features,12,0.062347412109375,4.31890869140625,2.229521494554404,4437,9892.38687133789,111.33555671943365,49.99999999818316
11,"POLYGON Z ((289583.3593017579 5130279.232134109 0, 289588.356255893 5130279.057636626 0, 289588.007260926 5130269.063728356 0, 289583.0103067909 5130269.238225839 0, 289583.3593017579 5130279.232134109 0))",Coverage/Quad,User Created Features,15,-0.13427734375,3.7822265625,1.8076515584117572,4443,8031.3958740234375,90.39071586043106,50.00000000005159
12,"POLYGON Z ((289588.356255893 5130279.057636626 0, 289593.3532100281 5130278.883139142 0, 289593.0042150611 5130268.889230872 0, 289588.007260926 5130269.063728356 0, 289588.356255893 5130279.057636626 0))",Coverage/Quad,User Created Features,16,-0.063720703125,3.85736083984375,2.206090933563418,4443,9801.662017822266,110.31447836839206,50.000000000672564
13,"POLYGON Z ((289593.3532100281 5130278.883139142 0, 289598.3501641632 5130278.708641659 0, 289598.0011691962 5130268.714733388 0, 289593.0042150611 5130268.889230872 0, 289593.3532100281 5130278.883139142 0))",Coverage/Quad,User Created Features,17,0.0601806640625,4.549163818359375,2.959435976005659,4437,13131.01742553711,147.78527714080778,50.000000000347534
14,"POLYGON Z ((289598.3501641632 5130278.708641659 0, 289603.3471182983 5130278.534144175 0, 289602.9981233313 5130268.540235905 0, 289598.0011691962 5130268.714733388 0, 289598.3501641632 5130278.708641659 0))",Coverage/Quad,User Created Features,18,1.47314453125,4.900177001953125,3.6224639851375273,4444,16098.229949951172,181.18027701365816,50.000000000347534
15,"POLYGON Z ((289603.3471182983 5130278.534144175 0, 289608.3440724334 5130278.359646692 0, 289607.9950774664 5130268.365738422 0, 289602.9981233313 5130268.540235905 0, 289603.3471182983 5130278.534144175 0))",Coverage/Quad,User Created Features,19,0.289031982421875,5.00030517578125,3.5019580086367426,4443,15559.199432373047,175.11366603858534,50.000000000347534
