,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,std,median
0,"POLYGON Z ((289707.8746458541 5130279.81225984 1182.502075195312, 289712.1887254441 5130279.586168512 1190.569458007812, 289711.7365427822 5130270.95800933 1181.893310546875, 289707.4224631921 5130271.184100661 1181.552978515625, 289707.8746458541 5130279.81225984 1182.502075195312))",Coverage/Quad,User Created Features - Coverage/Quad,1,360.1291198730469,363.3816833496094,361.1412937286175,3318,1.0915928729052873,360.44146728515625
1,"POLYGON Z ((289712.1887254441 5130279.586168512 1190.569458007812, 289716.5028050343 5130279.36007718 1183.2119140625, 289716.0506223724 5130270.731917999 1181.8935546875, 289711.7365427822 5130270.95800933 1181.893310546875, 289712.1887254441 5130279.586168512 1190.569458007812))",Coverage/Quad,User Created Features - Coverage/Quad,2,360.1318664550781,363.3824462890625,361.7102968701407,3316,1.2159263210246445,361.92701721191406
2,"POLYGON Z ((289716.5028050343 5130279.36007718 1183.2119140625, 289720.8168846245 5130279.133985849 1182.667846679688, 289720.3647019625 5130270.505826668 1181.731323242188, 289716.0506223724 5130270.731917999 1181.8935546875, 289716.5028050343 5130279.36007718 1183.2119140625))",Coverage/Quad,User Created Features - Coverage/Quad,3,360.1172790527344,363.384765625,361.13859161653545,3310,1.122889582496333,360.42578125
3,"POLYGON Z ((289720.8168846245 5130279.133985849 1182.667846679688, 289725.1309642145 5130278.907894517 1182.782470703125, 289724.6787815526 5130270.279735336 1182.038818359375, 289720.3647019625 5130270.505826668 1181.731323242188, 289720.8168846245 5130279.133985849 1182.667846679688))",Coverage/Quad,User Created Features - Coverage/Quad,4,360.1104431152344,363.38720703125,361.91543625034103,3322,1.2586439519540773,362.5852508544922
4,"POLYGON Z ((289725.1309642145 5130278.907894517 1182.782470703125, 289729.4450438048 5130278.681803185 1182.621948242188, 289728.9928611428 5130270.053644007 1186.759765625, 289724.6787815526 5130270.279735336 1182.038818359375, 289725.1309642145 5130278.907894517 1182.782470703125))",Coverage/Quad,User Created Features - Coverage/Quad,5,360.0066833496094,363.37799072265625,361.55850101149224,3320,1.305163652898054,360.54652404785156
5,"POLYGON Z ((289729.4450438048 5130278.681803185 1182.621948242188, 289733.7591233949 5130278.455711855 1189.408935546875, 289733.3069407329 5130269.827552675 1181.736206054688, 289728.9928611428 5130270.053644007 1186.759765625, 289729.4450438048 5130278.681803185 1182.621948242188))",Coverage/Quad,User Created Features - Coverage/Quad,6,360.11346435546875,363.3758544921875,361.39857735380457,3312,1.086420200732127,360.9265594482422
6,"POLYGON Z ((289733.7591233949 5130278.455711855 1189.408935546875, 289738.073202985 5130278.229620525 1189.440551757812, 289737.6210203231 5130269.601461344 1190.54736328125, 289733.3069407329 5130269.827552675 1181.736206054688, 289733.7591233949 5130278.455711855 1189.408935546875))",Coverage/Quad,User Created Features - Coverage/Quad,7,359.9595947265625,363.2555236816406,361.0624333894285,3317,0.981627821616638,360.3954772949219
7,"POLYGON Z ((289738.073202985 5130278.229620525 1189.440551757812, 289742.3872825751 5130278.003529194 1184.783325195312, 289741.9350999132 5130269.375370013 1181.736450195312, 289737.6210203231 5130269.601461344 1190.54736328125, 289738.073202985 5130278.229620525 1189.440551757812))",Coverage/Quad,User Created Features - Coverage/Quad,8,360.1304931640625,363.3887634277344,361.7169294952807,3315,1.3385660760709124,361.86956787109375
8,"POLYGON Z ((289742.3872825751 5130278.003529194 1184.783325195312, 289746.7013621652 5130277.777437863 1181.794799804688, 289746.2491795033 5130269.149278684 1180.935302734375, 289741.9350999132 5130269.375370013 1181.736450195312, 289742.3872825751 5130278.003529194 1184.783325195312))",Coverage/Quad,User Created Features - Coverage/Quad,9,359.9454345703125,363.3742370605469,360.9531885060659,3310,1.1835325407109962,360.2524719238281
9,"POLYGON Z ((289707.4224631921 5130271.184100661 1181.552978515625, 289711.7365427822 5130270.95800933 1181.893310546875, 289711.2843601204 5130262.32985015 1185.06494140625, 289706.9702805302 5130262.555941478 1180.68359375, 289707.4224631921 5130271.184100661 1181.552978515625))",Coverage/Quad,User Created Features - Coverage/Quad,10,359.8555908203125,362.9800109863281,360.57674844384263,3318,0.922800308783675,360.1201934814453
10,"POLYGON Z ((289711.7365427822 5130270.95800933 1181.893310546875, 289716.0506223724 5130270.731917999 1181.8935546875, 289715.5984397105 5130262.103758818 1186.710693359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289711.7365427822 5130270.95800933 1181.893310546875))",Coverage/Quad,User Created Features - Coverage/Quad,11,359.25787353515625,363.38330078125,361.49535484912167,3316,1.16815951735043,361.6549072265625
11,"POLYGON Z ((289716.0506223724 5130270.731917999 1181.8935546875, 289720.3647019625 5130270.505826668 1181.731323242188, 289719.9125193006 5130261.877667488 1180.973754882812, 289715.5984397105 5130262.103758818 1186.710693359375, 289716.0506223724 5130270.731917999 1181.8935546875))",Coverage/Quad,User Created Features - Coverage/Quad,12,359.8764953613281,362.9624328613281,360.76185981107045,3320,0.9830739757129585,360.1540832519531
12,"POLYGON Z ((289720.3647019625 5130270.505826668 1181.731323242188, 289724.6787815526 5130270.279735336 1182.038818359375, 289724.2265988907 5130261.651576158 1181.199584960938, 289719.9125193006 5130261.877667488 1180.973754882812, 289720.3647019625 5130270.505826668 1181.731323242188))",Coverage/Quad,User Created Features - Coverage/Quad,13,359.92596435546875,363.272216796875,361.68544457897343,3315,1.1986917009091245,362.2129211425781
13,"POLYGON Z ((289724.6787815526 5130270.279735336 1182.038818359375, 289728.9928611428 5130270.053644007 1186.759765625, 289728.5406784808 5130261.425484825 1189.457153320312, 289724.2265988907 5130261.651576158 1181.199584960938, 289724.6787815526 5130270.279735336 1182.038818359375))",Coverage/Quad,User Created Features - Coverage/Quad,14,359.92742919921875,363.341064453125,361.52610642437776,3312,1.2247350774356658,362.04127502441406
14,"POLYGON Z ((289728.9928611428 5130270.053644007 1186.759765625, 289733.3069407329 5130269.827552675 1181.736206054688, 289732.854758071 5130261.199393493 1190.29736328125, 289728.5406784808 5130261.425484825 1189.457153320312, 289728.9928611428 5130270.053644007 1186.759765625))",Coverage/Quad,User Created Features - Coverage/Quad,15,359.9803466796875,363.36968994140625,361.83817652603716,3317,1.113614334458818,362.35467529296875
15,"POLYGON Z ((289733.3069407329 5130269.827552675 1181.736206054688, 289737.6210203231 5130269.601461344 1190.54736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289732.854758071 5130261.199393493 1190.29736328125, 289733.3069407329 5130269.827552675 1181.736206054688))",Coverage/Quad,User Created Features - Coverage/Quad,16,359.9133605957031,363.01422119140625,361.17901904996523,3315,1.1864642444321016,360.2807922363281
16,"POLYGON Z ((289737.6210203231 5130269.601461344 1190.54736328125, 289741.9350999132 5130269.375370013 1181.736450195312, 289741.4829172512 5130260.747210834 1182.112182617188, 289737.1688376612 5130260.973302164 1189.3173828125, 289737.6210203231 5130269.601461344 1190.54736328125))",Coverage/Quad,User Created Features - Coverage/Quad,17,359.345947265625,363.25018310546875,361.20006457022413,3315,1.1928214483183985,360.5043640136719
17,"POLYGON Z ((289741.9350999132 5130269.375370013 1181.736450195312, 289746.2491795033 5130269.149278684 1180.935302734375, 289745.7969968414 5130260.521119501 1180.198364257812, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.9350999132 5130269.375370013 1181.736450195312))",Coverage/Quad,User Created Features - Coverage/Quad,18,359.72686767578125,363.1557922363281,360.5075370885032,3322,0.9847426828493253,360.0231475830078
18,"POLYGON Z ((289706.9702805302 5130262.555941478 1180.68359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289710.8321774584 5130253.701690969 1184.404052734375, 289706.5180978682 5130253.927782301 1179.753295898438, 289706.9702805302 5130262.555941478 1180.68359375))",Coverage/Quad,User Created Features - Coverage/Quad,19,359.59619140625,362.16424560546875,360.17599455985714,3313,0.7378590148452314,359.8490905761719
19,"POLYGON Z ((289711.2843601204 5130262.32985015 1185.06494140625, 289715.5984397105 5130262.103758818 1186.710693359375, 289715.1462570485 5130253.475599638 1183.762939453125, 289710.8321774584 5130253.701690969 1184.404052734375, 289711.2843601204 5130262.32985015 1185.06494140625))",Coverage/Quad,User Created Features - Coverage/Quad,20,359.7276916503906,362.9928283691406,361.3349896127855,3313,1.1766145219439132,361.72149658203125
20,"POLYGON Z ((289715.5984397105 5130262.103758818 1186.710693359375, 289719.9125193006 5130261.877667488 1180.973754882812, 289719.4603366386 5130253.249508308 1180.119750976562, 289715.1462570485 5130253.475599638 1183.762939453125, 289715.5984397105 5130262.103758818 1186.710693359375))",Coverage/Quad,User Created Features - Coverage/Quad,21,359.64166259765625,362.704345703125,360.49785634484465,3317,0.9538998162935657,359.9398498535156
21,"POLYGON Z ((289719.9125193006 5130261.877667488 1180.973754882812, 289724.2265988907 5130261.651576158 1181.199584960938, 289723.7744162287 5130253.023416977 1180.475708007812, 289719.4603366386 5130253.249508308 1180.119750976562, 289719.9125193006 5130261.877667488 1180.973754882812))",Coverage/Quad,User Created Features - Coverage/Quad,22,359.7099914550781,363.1382141113281,361.1017058580043,3313,1.2571871507446344,360.8587951660156
22,"POLYGON Z ((289724.2265988907 5130261.651576158 1181.199584960938, 289728.5406784808 5130261.425484825 1189.457153320312, 289728.088495819 5130252.797325644 1185.766845703125, 289723.7744162287 5130253.023416977 1180.475708007812, 289724.2265988907 5130261.651576158 1181.199584960938))",Coverage/Quad,User Created Features - Coverage/Quad,23,359.6273498535156,363.06390380859375,361.16401515402583,3315,1.2056384784952054,361.56134033203125
