,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,std,median
0,"POLYGON Z ((289707.8746458541 5130279.81225984 1182.502075195312, 289712.1887254441 5130279.586168512 1190.569458007812, 289711.7365427822 5130270.95800933 1181.893310546875, 289707.4224631921 5130271.184100661 1181.552978515625, 289707.8746458541 5130279.81225984 1182.502075195312))",Coverage/Quad,User Created Features - Coverage/Quad,1,30008.0,30431.0,30196.628691983122,3318,120.98205814568341,30193.0
1,"POLYGON Z ((289712.1887254441 5130279.586168512 1190.569458007812, 289716.5028050343 5130279.36007718 1183.2119140625, 289716.0506223724 5130270.731917999 1181.8935546875, 289711.7365427822 5130270.95800933 1181.893310546875, 289712.1887254441 5130279.586168512 1190.569458007812))",Coverage/Quad,User Created Features - Coverage/Quad,2,30068.0,30560.0,30333.192702050663,3316,123.85609263888678,30332.0
2,"POLYGON Z ((289716.5028050343 5130279.36007718 1183.2119140625, 289720.8168846245 5130279.133985849 1182.667846679688, 289720.3647019625 5130270.505826668 1181.731323242188, 289716.0506223724 5130270.731917999 1181.8935546875, 289716.5028050343 5130279.36007718 1183.2119140625))",Coverage/Quad,User Created Features - Coverage/Quad,3,29792.0,30645.0,30266.030211480364,3310,170.83120675705035,30275.5
3,"POLYGON Z ((289720.8168846245 5130279.133985849 1182.667846679688, 289725.1309642145 5130278.907894517 1182.782470703125, 289724.6787815526 5130270.279735336 1182.038818359375, 289720.3647019625 5130270.505826668 1181.731323242188, 289720.8168846245 5130279.133985849 1182.667846679688))",Coverage/Quad,User Created Features - Coverage/Quad,4,29790.0,30700.0,30386.137266706803,3322,201.2669185146307,30391.0
4,"POLYGON Z ((289725.1309642145 5130278.907894517 1182.782470703125, 289729.4450438048 5130278.681803185 1182.621948242188, 289728.9928611428 5130270.053644007 1186.759765625, 289724.6787815526 5130270.279735336 1182.038818359375, 289725.1309642145 5130278.907894517 1182.782470703125))",Coverage/Quad,User Created Features - Coverage/Quad,5,29618.0,30691.0,30209.90451807229,3320,292.2993919903021,30262.0
5,"POLYGON Z ((289729.4450438048 5130278.681803185 1182.621948242188, 289733.7591233949 5130278.455711855 1189.408935546875, 289733.3069407329 5130269.827552675 1181.736206054688, 289728.9928611428 5130270.053644007 1186.759765625, 289729.4450438048 5130278.681803185 1182.621948242188))",Coverage/Quad,User Created Features - Coverage/Quad,6,29632.0,30661.0,30295.19172705314,3312,282.5621512867053,30354.0
6,"POLYGON Z ((289733.7591233949 5130278.455711855 1189.408935546875, 289738.073202985 5130278.229620525 1189.440551757812, 289737.6210203231 5130269.601461344 1190.54736328125, 289733.3069407329 5130269.827552675 1181.736206054688, 289733.7591233949 5130278.455711855 1189.408935546875))",Coverage/Quad,User Created Features - Coverage/Quad,7,29796.0,30661.0,30357.934579439254,3317,217.95339936363206,30409.0
7,"POLYGON Z ((289738.073202985 5130278.229620525 1189.440551757812, 289742.3872825751 5130278.003529194 1184.783325195312, 289741.9350999132 5130269.375370013 1181.736450195312, 289737.6210203231 5130269.601461344 1190.54736328125, 289738.073202985 5130278.229620525 1189.440551757812))",Coverage/Quad,User Created Features - Coverage/Quad,8,29616.0,30630.0,30125.02262443439,3315,279.34545305541536,30072.0
8,"POLYGON Z ((289742.3872825751 5130278.003529194 1184.783325195312, 289746.7013621652 5130277.777437863 1181.794799804688, 289746.2491795033 5130269.149278684 1180.935302734375, 289741.9350999132 5130269.375370013 1181.736450195312, 289742.3872825751 5130278.003529194 1184.783325195312))",Coverage/Quad,User Created Features - Coverage/Quad,9,30196.0,30660.0,30514.919335347433,3310,110.7260950073212,30549.5
9,"POLYGON Z ((289707.4224631921 5130271.184100661 1181.552978515625, 289711.7365427822 5130270.95800933 1181.893310546875, 289711.2843601204 5130262.32985015 1185.06494140625, 289706.9702805302 5130262.555941478 1180.68359375, 289707.4224631921 5130271.184100661 1181.552978515625))",Coverage/Quad,User Created Features - Coverage/Quad,10,29986.0,30512.0,30242.106992163954,3318,146.26798691345562,30256.0
