,UTMX,UTMY
0,289622.41117059975,5130240.899705378
1,289621.8497048078,5130244.325966004
2,289622.1015692607,5130248.858654667
3,289621.86508641177,5130253.863387335
4,289621.43628007127,5130258.158492907
5,289621.3873562709,5130261.812986298
6,289621.28440738027,5130266.827658746
7,289620.717963377,5130276.642239296
8,289620.8013071195,5130271.664960047
9,289620.24280817306,5130244.066780331
10,289620.3764425377,5130285.712408378
11,289620.24196281645,5130289.84261611
12,289620.12041607994,5130240.609246157
13,289620.00178436626,5130248.65143503
14,289619.64714592404,5130294.404190131
15,289619.6413061616,5130253.405056274
16,289619.6117931746,5130298.763678168
17,289619.51496259304,5130257.876240725
18,289619.26644393854,5130267.238787998
19,289618.90308633907,5130276.245201926
20,289618.97019664315,5130271.394908305
21,289618.56052904716,5130289.6589674195
22,289619.5769068288,5130280.329258018
23,289618.6728092499,5130285.195049144
24,289618.26693442254,5130248.764121496
25,289617.9485653426,5130244.055308613
26,289617.73098479735,5130253.314937545
27,289617.5760351378,5130257.421993751
28,289617.3446568178,5130266.879929229
29,289616.92162870034,5130271.259352896
30,289617.76916511904,5130239.849392243
31,289616.8912897902,5130262.252658815
32,289616.4488573373,5130281.003009277
33,289616.2930428876,5130289.967156468
34,289616.02146640234,5130244.305050039
35,289616.26433962915,5130294.46224303
36,289615.9839111912,5130248.532996511
37,289615.7958954556,5130253.258709288
38,289615.76856873574,5130266.715960105
39,289615.69045260095,5130299.353383085
40,289615.24531241565,5130276.012247036
41,289615.094560389,5130262.649913183
42,289615.0185268761,5130271.370973808
43,289614.6682512514,5130240.19750154
44,289614.4737220592,5130253.141093416
45,289614.5547240667,5130280.623859624
46,289614.4469232824,5130289.706340075
47,289614.2596524972,5130244.003559573
48,289613.986446838,5130294.326263342
49,289613.58562795585,5130248.659240462
50,289613.49636023917,5130257.6876602005
51,289613.40241876914,5130262.382131818
52,289613.27899670124,5130271.640513824
53,289613.21799175063,5130267.122357516
54,289612.9816578917,5130280.2576035075
55,289612.47413621726,5130244.23420522
56,289612.5873557051,5130299.481576673
57,289612.59577688226,5130240.001944708
58,289612.9568672417,5130284.9043664485
59,289612.38051216083,5130252.587063229
60,289612.13494091836,5130248.521336945
61,289611.99711539864,5130294.756360035
62,289611.3842609926,5130266.956613546
63,289611.34722076874,5130257.490344718
64,289611.1848086507,5130262.323503634
65,289611.00098083133,5130271.307678558
66,289611.6766701746,5130289.5456332
67,289610.8737368446,5130240.069894068
68,289610.4585209884,5130280.476949093
69,289610.5533142929,5130294.495909217
70,289610.48301365826,5130285.07486331
71,289610.40997290215,5130243.543162177
72,289610.0440792328,5130253.850901883
73,289610.16806163284,5130248.509363218
74,289609.48041745694,5130257.580845621
75,289609.3888598278,5130262.401590338
76,289609.3505240383,5130266.824290427
77,289609.0338100435,5130289.582482286
78,289608.56701771624,5130261.903892048
79,289609.0006856671,5130271.072621708
80,289608.6682402656,5130280.100495715
81,289608.7870533584,5130240.282473866
82,289608.4006832729,5130248.399552778
83,289608.298197547,5130252.954948445
84,289608.39344106056,5130285.1009758795
85,289608.1655316177,5130243.485797113
86,289608.1522812194,5130294.260983942
87,289607.82551687356,5130298.558681541
88,289607.5070732985,5130257.712187393
89,289607.5772605711,5130262.061179593
90,289607.28358173475,5130266.718470151
91,289606.98250845703,5130271.047009529
92,289606.90158094466,5130275.653759106
93,289606.7673570976,5130294.078781362
94,289606.4724345181,5130280.276945433
95,289606.3716168331,5130284.922539177
96,289606.2361168538,5130289.705876931
97,289605.9224863054,5130248.784357321
98,289605.6909363229,5130298.846998115
99,289605.4440630369,5130262.112177239
100,289605.4380354174,5130257.786309845
101,289605.1278024901,5130266.908854669
102,289606.04809787933,5130239.608136389
103,289605.0286722794,5130270.993543941
104,289604.81176542834,5130275.802065546
105,289604.6362324685,5130280.32404684
106,289605.4921220471,5130243.879637819
107,289604.35840487864,5130284.689221546
108,289604.34809541446,5130289.748145286
109,289604.9549837404,5130252.202809277
110,289604.1578351113,5130294.797597653
111,289603.8450952643,5130248.811941911
112,289603.4899677461,5130262.270365162
113,289603.31025658676,5130266.4429708
114,289602.88331262197,5130275.640314979
115,289602.62990644586,5130239.101703142
116,289602.7189377218,5130280.224819075
117,289602.6129410128,5130243.544898157
118,289602.6777387321,5130270.872566228
119,289603.01884499035,5130257.406421753
120,289602.52687982126,5130284.671116831
121,289602.6253557713,5130293.984485432
122,289602.41558748734,5130248.223402646
123,289602.1932230658,5130289.563697429
124,289601.9704602578,5130252.503985582
125,289602.0690722422,5130298.65994143
126,289601.36441404955,5130262.081178987
127,289601.2858088387,5130266.547178171
128,289601.302952412,5130275.201275641
129,289601.0049787753,5130270.796782287
130,289600.86908364843,5130279.599804803
